,address,store,buy,swap,share,referral,total
0,0x9b6dd329f861674787508521fed75148f6e538c9,1,1,1,1,0,4
1,0xb8e12aa69654b31f4c37d1c9974b0e784c0c1c5e,1,1,1,1,0,4
2,0xf28391d34cf29c7350fa4602a8499ee1baacd6d9,0,0,0,1,0,1
3,0x2d37cb2b05da0e91a29d164545a511dd8b59c0e4,1,1,1,0,0,3
4,0x57503fa42086300cda9fcee6fa95915f5bb04680,1,1,1,1,15,9
5,0x19272f08f53130c6b926140cfa12b465119dfe87,0,0,0,0,0,0
6,0x03b6873a2458c09b4860805d9d47ea83bd5bc4b7,1,1,1,0,0,3
7,0xe0c5f01eb400d81844ce98341abe8929dfd51c86,0,0,0,0,0,0
8,0x0bc121f2584f0b55d931f411d02823b62a9516ff,1,1,1,0,0,3
9,0x46debe1d8799139a7a323172bb3a2ff00f492b4d,1,1,1,0,0,3
10,0xDd6eD4c1A1fC3dD725f814C05D4d1613496e5feD,1,1,1,1,0,4
11,0x717ac16b8f591fa48e65af625041e91cedd17a8a,1,1,1,0,0,3
12,0x311be75098ce113b573253eef04fde3c7f5d6cb0,1,1,1,1,3,5
13,0x49f8914e140fab53fd610fec00b47c6d727c4dac,1,1,1,0,0,3
14,0xaf36e4f1faf80c2426be4566bd4adb753848b0a5,1,1,1,0,0,3
15,0xb3f2b3a48dc75ad2514579569e3bf4351771698b,0,0,0,0,0,0
16,0x226d6a6e86d7bfef644b7710cc7f90cfb79442a9,0,0,0,0,0,0
17,0x26820a95add0e37809ad1aa807e8d22eb756e119,1,1,1,1,0,4
18,0x5477ba29e660ab9205e1ab766d62633ae727dadf,1,0,1,0,0,2
19,0xbeac1580f09443c0940d7ed97ba680da511b5a20,0,0,0,0,0,0
20,0xef5f0913a7d281459f790a1a36ee27a3ceb537c6,1,1,1,0,0,3
21,0x4075ea27d36dc9de5ee76e5a211e6027c88b4249,1,1,1,1,0,4
22,0x13407c436f1e7c8221d38ed3954e7d04b2cde70f,1,1,1,1,0,4
23,0x20a5df67c235ffafcfbb2cbb29d176ab38fbd37c,0,0,0,1,0,1
24,0x7b30413f491c5bafef06d0f3d0984057b21093c9,1,1,1,0,0,3
25,0x38cf5491344046c3d8cb147aa85f3a156ec5071f,0,0,0,0,0,0
26,0x066d17a967eb7c9cc10eef0093224e06c44720e2,1,0,1,0,0,2
27,0x484d65d8ed77985df8d3e8021add27a55e967785,0,0,0,0,0,0
28,0x74a8e371468a57179128e25b982ecfa4ec01ca6f,1,1,1,1,0,4
29,0xf68b70863e30125a314cfc39f5abab35f1068651,1,1,1,0,0,3
30,0x056fde51fe14cdc9008254355e30ad0561c25024,1,1,1,0,1,3
31,0x5f6d57853bceae2fb75e9f565fa0f3f0cd78068b,1,1,1,1,0,4
32,0xA432c6F3F78f2A2ADeBf159d3Ba8109e73039c78,0,0,0,0,0,0
33,0x04d86071825697cad1ffb6331981eb515db8bd09,1,1,1,0,0,3
34,0x0965aa4255bebed2d1a19171f1fcfbbbf82bba5d,1,1,1,1,0,4
35,0x2dff5462c6471920ab6ea9fb018aff716711f10f,1,1,1,0,0,3
36,0x8d1c35705bb79085cf1ed4e009291d0f0337ab7f,1,1,1,1,0,4
37,0x584f0f2f59fcea122df3946e4e19d601d1695ec6,1,1,1,1,0,4
38,0xc31c04e72e2a276c4633cd47c257eea6f0cf5227,1,1,1,0,0,3
39,0x8910078adf9315fe95d625659523ccf164be51f9,1,1,1,0,0,3
40,0x28d4bca7f09662d1ecb11d221793362bce32594a,1,1,1,0,0,3
41,0xb8c8d94feffe4de7b8ded5290dfaa1904190e9fe,0,0,0,0,0,0
42,0xa00076cc800693275fdb58c58446fe8e395f00dc,1,1,1,0,0,3
43,0xf88e13cbd77d627cfa8c78e1790368c2f66c6050,1,1,1,1,0,4
44,0x1a203a94602f3e3d21fcad3d70c026108b2b4d54,1,0,1,0,0,2
45,0x363b273a82321cf576e7ee7d5c5a421abddd93af,0,0,0,0,0,0
46,0xb939d66d13f0149c536bd7f255a50842c7dcbefc,0,0,0,1,0,1
47,0xa92353660775b072c9fd6a7b7a984486827c99b9,1,1,1,1,0,4
48,0xea9cb2b0c60b68a9b8bf8b57c6d66a24bd377a60,1,1,1,1,0,4
49,0x28dd14aac583ac99f2cca2c24cea08e7a9262416,0,0,0,0,0,0
50,0x44bdc37cf0e08abd4326bf65cff1578c96197c0b,1,1,1,1,0,4
51,0xc7482038b0e0c3995672a0115d607b7fa2a7bbe3,1,1,1,0,0,3
52,0x20083be5efb61874e9c500de14db88ca3883daf1,0,0,0,0,0,0
53,0xc0ac63f55afa37c912065901450013bb4097d610,1,1,1,1,0,4
54,0x59b8bd3fc6182858c92cbe9b1ff90fca67c44a69,1,1,1,0,0,3
55,0x32c2445b8c203c655c2438a1c750fe02ae29b010,1,1,1,0,0,3
56,0x17a919950674da0e6363f94b4fe205607867d283,1,1,1,1,0,4
57,0xe6abe6d9110cb07d42b7c350248af61f66bf4f04,1,1,1,0,0,3
58,0xdca9b0dd65c592a3f07a823a41f2fbe2e927b186,1,1,1,1,0,4
59,0xDF89987c3933d387eb19907C03aD78B52d43FE5D,1,1,1,1,0,4
60,0x146884be7c85a232450b480afff14001147be0a8,1,0,0,0,0,1
61,0x86354233b790e249408372273637796eb343d6ff,1,0,1,0,0,2
62,0xb980213c44801869b4480d001b0637c5c573d7a2,0,0,0,0,0,0
63,0xf87409850f2da72a6ccbb6724453f663af1f12b1,0,0,0,1,0,1
64,0xcbf704d0e17e1ea170ec21e0b16e584a8c728992,1,1,0,0,0,2
65,0x4126775E836C14f39692Bbb8846f6391d52C9450,0,0,0,0,0,0
66,0x104372c409073e1b362f8094a7fff23fa599ffdc,1,1,1,0,0,3
67,0x18aa8099b7edbb3da20312b3efc56dfbfb739ef9,0,0,0,0,0,0
68,0x7b284248c00b9ebe72f82a6d3a3b11915d5bac59,0,0,0,0,0,0
69,0x46ab4f4e77bc9714e590c90010d759602dc3a2d2,1,1,1,1,0,4
70,0x4377b475666619c0bd83dc3dc8c2ca4d587cc0d8,0,0,0,0,0,0
71,0xe6f9ac9c1b6da5d23d4512a09821e1c1a8e5ba3a,1,0,1,1,0,3
72,0xa23c2714b37421b971be44ff1992ca59f236883b,1,0,0,0,0,1
73,0xcac4a850a77e54ea429147e3b59a938db3d64fbb,1,1,1,0,0,3
74,0xae31ef8b46086a659c87e2de77dedc582c2cd867,1,1,1,0,0,3
75,0xfc10fa076d707ceaa4df6d12a86fe726ab25c4de,1,0,1,0,0,2
76,0x7dc0fddf786d4a23758fd977231d593ba54e3438,0,0,0,0,0,0
77,0xF50a4Ad05A4255151384A84ACd7849D220F321bA,1,1,1,1,0,4
78,0x94be842fb80117ff0769dd2f50ad51fa79b91ab1,1,1,1,0,0,3
79,0x079d41ecf24f1d217dd667bc91948d184a9bf8ae,0,0,0,0,0,0
80,0xa95a1f5e44c262f7a150465e47075fb598b7742f,1,1,1,1,0,4
81,0xafa91aefc87955d94f7b0b1401ede9e66d47899e,1,1,1,0,0,3
82,0x81f670c801cdc8847186d3dd7131a345ad4ae943,0,0,0,1,0,1
83,0xfe4fd261def654084de1a86c7c46caa0155cbb20,1,1,1,1,0,4
84,0x5b18ac76af9af6e01cd933bc92d1776f5025f3b6,1,1,1,1,0,4
85,0x86721bb3F0B1489ED726041B51718e7287A6EF85,1,1,1,1,0,4
86,0x0060a13fdbe0873a22a8da1a2a289baea6b4fdbf,0,0,0,0,0,0
87,0x91abc834bb06371b78c7fe1bf5f0235ac1f46045,1,1,1,1,0,4
88,0xad59a7eb8771ec4c623e1fc1bfe8ad837101755e,1,1,1,1,0,4
89,0xe7674b190def5a82730f5d6ab8125e277f10414f,1,1,1,1,4,5
90,0xde6a9da8878553fb90f99bf9f5d0d39da09ac956,1,1,1,0,0,3
91,0xcc2d57ed3efb1391f86b077ad36c94bc1d093241,1,0,1,1,0,3
92,0x79a685f995c8f79573ea509e99bd39c0e0892cb9,1,1,1,0,0,3
93,0xe0a6f89fb6d0d818c7ea66b451a5d22a7e36c6c8,1,1,1,1,0,4
94,0x1af99799ae16a742c079c637f247a001bfe14eed,0,0,0,0,0,0
95,0xc955aa61736ec7cf958de11d0ec3bc1c3f167b53,1,1,1,0,0,3
96,0x1545739735bab3e59d145d82cee9658fbf2657f8,1,1,1,0,0,3
97,0xc095fb10b051d65338569343dfabccdd29e0fd63,1,0,1,0,0,2
98,0x494e9fd4e8a39325ba7b85828e69293d207dd5e4,1,1,1,0,0,3
99,0x8b1bf2529f1a1bc4e2876872c391eb7157aa471b,1,1,1,0,0,3
100,0x5444dc32837a251da6dab406fe63a8f5c89253d5,1,0,1,1,0,3
101,0x77475a241b86c29db7998a7da22e7a24b57edf1f,0,0,0,0,0,0
102,0xff4b88b2890117f3d38b85444f49a7f596594e8a,1,1,1,0,0,3
103,0xb206a1e7db71b14f212b92895393e90c3b137740,1,1,1,0,0,3
104,0x360fcf6a3db014e3a364085142dde93c11f60cb9,1,1,1,1,0,4
105,0xddcc66a0532aab46848eebcb17eb2deea2248c7f,1,1,1,0,0,3
106,0x9d2a9986de370fdc14f20d07791e6fe109d538f6,1,0,1,0,0,2
107,0xc518bf71044ece774a5f6bd81cd8d23811a490c0,0,0,1,1,0,2
108,0x3a4d1a7647712466614daa79ff4a717e14b24b92,0,0,0,0,0,0
109,0x72f910ed14b85023a5aabfd15093d075e0165826,1,0,1,0,0,2
110,0x5ab2251058c0ecb94f8c5de173d3a0d672347466,1,1,1,1,0,4
111,0x09b484bAed299eb2A20f238e2c21B2d918db7525,0,0,0,0,0,0
112,0xbac9e9a7107480f32b16a0547ce37205e1880700,1,1,1,1,15,9
113,0x3b3bc71adb726cf954ce7515b1f2b17506eb350a,1,0,1,1,0,3
114,0x2942396b5f2318fcbd3bf19981c543899cefbf7a,1,1,1,1,0,4
115,0xe8bf0887b551b7fa1e1859dec629705e69c6d00f,1,1,1,1,0,4
116,0xc49b1cde3af8cc93e7488caafe6937df9df0af69,0,0,0,0,0,0
117,0xb7b727fcace7dc1711f7111259864350d088dc66,1,1,1,0,0,3
118,0x1edad87a662d00f90340f8467a1202af23a903e6,1,1,1,1,0,4
119,0x16421dcf404e68518445454791026dc445739ecc,1,1,1,0,0,3
120,0x7cc9e57e9a6d4348dc62b4e3a1ed2c207c030d72,1,0,1,0,0,2
121,0x75bf0e322b317fe20dbd8a6b532090f9519ce221,1,1,1,0,0,3
122,0x585b542eccbd2ab46c4ca7caad3c48c8cb64d1f5,1,1,1,1,0,4
123,0x272bc8346ccb353e321663c93b2994d1849e3aaa,1,1,1,0,0,3
124,0x40588d8980e5b4f3f8965629684cf4720e25f7ce,1,1,1,1,0,4
125,0xa4a3c95f7073406b8066165a1726385c6d7b99bd,1,1,1,0,0,3
126,0x78647eaf9fe65546f3014a921c3950e6a2948bde,1,1,1,0,0,3
127,0x452fa147acae212981387bb5b585d11bb0d8a3e0,1,0,1,1,0,3
128,0x9e8757306353474ecb3f10e10a16106a0afa452f,1,0,1,0,0,2
129,0xb5fdc44e672323448b2e5954131142b45a155da1,1,1,1,1,0,4
130,0xc470e3613ee053770e7e4825c778346640c94a4d,0,0,0,0,0,0
131,0x1e756d641a71a97a93a449cbbbcbd04f8c78d6d1,1,1,1,1,0,4
132,0x086a8184c9fbfb66d1edf2406a5d20576911f5fe,1,1,1,0,0,3
133,0xfc4b1303fb4a82b9cf0e52525f0c43f2bc0da2e5,1,0,1,1,0,3
134,0xFA5998ffd077CAAE35777326c65dc76080dDB067,1,1,1,1,0,4
135,0xb9db7a402f65093fe86bacfa53ee22bfa7209c2e,1,0,1,1,0,3
136,0xc84428fe9f85ee49693ec2d380567a35459f01f0,1,0,1,0,0,2
137,0xb88eb63fc4237c83f97990f75a9a54cb01987481,0,0,1,1,0,2
138,0x563af352e22416b47abe7533ed2b539718aeb11d,1,1,1,1,0,4
139,0x4d93ca32967db3501d4bdc815fdeb9b8a193d575,1,1,1,0,0,3
140,0x45dfc056243e210b65c9717ce08a16bc7fa8841c,1,0,0,0,0,1
141,0xBfd61541B9Dc1C2F2adEae43Ab03687aE727f3A8,1,1,1,1,0,4
142,0xb82afaa5dc06482e9bf1151d012ecd3079f668f4,1,1,1,0,0,3
143,0x15af8aeea7bf7d381e263d43543e26cb45a047b8,1,1,1,1,0,4
144,0x4b6bfc5bcab5b30caa800ce50d7213ec0418cedc,1,1,1,0,0,3
145,0xe8e2b2002d1f9fd432f5aff616a3e11e2a214b0f,1,1,1,1,0,4
146,0x3e35f3a4b6279ef8c36f9e58c0f6fbef7627ecc3,1,1,1,0,0,3
